walk_edge_id,source_u,source_v,length_m,walking_type,crosswalk,overpass,bridge,tunnel,building,park_green,emd_nm,edge_safety_basis,case_A_subtype,matched_road_id,matched_road_risk_index,matched_road_risk_pct,safety_score_0_1,geometry_wkt,case_A_reference_distance_m,case_A_reference_overlap_ratio,case_A_reference_angle_diff_deg,nearest_road_distance_m,distance_discount_factor,case_D_distance_m,crossing_mapping_strategy,crosswalk_midpoint_road_id,crosswalk_midpoint_road_distance_m,walking_risk_score_0_1
138314,100801.0,100802.0,42.748,1111,0,0,0,0,0,0,신림동,case_A_separated,1111_parallel_separated,1927444983_2841340628_0,-0.8338966783781916,0.7241332611050921,0.0,"LINESTRING (126.9376897060772 37.468473019184366, 126.9376613126633 37.46808852486493)",3.3883368134283804,0.9996190547756157,0.2656461841040283,,,,,,,0.0
138910,100584.0,100579.0,41.161,1111,0,0,0,0,0,0,신림동,case_B_shared_road,,1916457902_1916457928_0,2.3191688567465287,0.8632177681473456,0.8632177681473456,"LINESTRING (126.93797976573393 37.471873982032356, 126.93840460869895 37.47202524961816)",,,,,,,,,,0.8632177681473456
138914,116575.0,123478.0,34.256,1111,0,0,0,0,0,0,봉천동,case_B_shared_road,,1845242213_1845242225_0,-1.3321831060331903,0.13326110509209102,0.13326110509209102,"LINESTRING (126.94191502960015 37.48062529013854, 126.94229706392713 37.4806760045493)",,,,,,,,,,0.13326110509209102
137754,67572.0,67570.0,30.824,1111,0,0,0,0,0,0,봉천동,case_B_nearest_road,,2824759097_2824759209_0,-0.9282886295848564,0.48733748645720476,0.48733748645720476,"LINESTRING (126.95921866993963 37.49159126731479, 126.95955976902833 37.491534170598854)",,,,3.5177854224197875,1.0,,,,,0.48733748645720476
137760,92126.0,92127.0,47.205,1111,0,0,0,0,0,0,신림동,case_B_nearest_road,,2824695072_4371039087_0,-0.2759991805014762,0.7457340195016251,0.7457340195016251,"LINESTRING (126.93112355783894 37.467988775218416, 126.93141655486653 37.467847054443766, 126.93134777477407 37.467705123310544)",,,,0.0,1.0,,,,,0.7457340195016251
137761,121046.0,121051.0,42.13,1111,0,0,0,0,0,0,봉천동,case_B_shared_road,,10680607733_2824735215_0,-1.3321831060331903,0.13326110509209102,0.13326110509209102,"LINESTRING (126.94763803642927 37.48738064918417, 126.94754540503499 37.48722326957742, 126.94735702965711 37.48708253469097)",,,,,,,,,,0.13326110509209102
138352,16420.0,16419.0,61.719,1111,0,0,0,0,0,0,신림동,case_B_nearest_road,,2824423022_2824426065_0,-0.8338966783781916,0.7241332611050921,0.4555666792202311,"LINESTRING (126.91146310943115 37.479683559064284, 126.91128161992226 37.47956060339498, 126.9110888734185 37.479648186750474, 126.91105572936202 37.47974904927846, 126.91116028624297 37.479766673587605)",,,,19.835202099403883,0.629119947514903,,,,,0.4555666792202311
134947,18215.0,18216.0,9.752,1111,0,0,0,0,0,0,신림동,case_B_nearest_road,,2824634293_4124780288_0,-1.3321831060331903,0.13326110509209102,0.0804393152110349,"LINESTRING (126.91730191620107 37.47073668951611, 126.91719612734254 37.47076140823351)",,,,20.85512587324058,0.6036218531689854,,,,,0.0804393152110349
131010,35219.0,35222.0,60.02,1111,0,0,0,0,0,0,신림동,case_A_separated,1111_parallel_separated,13208298953_13208298955_0,1.5011208464173824,0.827532502708559,0.0,"LINESTRING (126.91898842181227 37.47296686480618, 126.91919437660628 37.47281062051976, 126.91938610040005 37.47253612360536)",4.382998328147718,0.9996270400647587,4.891112399387524,,,,,,,0.0
138624,124018.0,124020.0,26.067,1111,0,0,0,0,0,0,신림동,case_A_separated,1111_named_local_parallel_separated,13208228278_1934653318_0,-0.9282886295848564,0.48733748645720476,0.0,"LINESTRING (126.94028006046301 37.464405646896, 126.94011912119446 37.464602382388705)",5.57327189125727,0.9996254461884357,1.9889529890000688,,,,,,,0.0
131488,76252.0,76255.0,38.072,1111,0,0,0,0,0,0,봉천동,case_B_shared_road,,1834116189_5761158481_0,-0.9109800094061395,0.6847914409534128,0.6847914409534128,"LINESTRING (126.94526105785694 37.48137448216753, 126.94483325694766 37.48141242590647)",,,,,,,,,,0.6847914409534128
131490,38632.0,38633.0,16.068,1111,0,0,0,0,0,0,신림동,case_B_nearest_road,,1793919659_1844752495_0,0.9734840412336864,0.8029523293607801,0.6900544580368364,"LINESTRING (126.9286542625703 37.488146647199486, 126.92882773974864 37.48818966232568)",,,,10.624138180846687,0.8593965454788328,,,,,0.6900544580368364
132063,92453.0,92467.0,110.796,1000,0,0,0,0,0,0,신림동,case_B_shared_road,,13204886786_13204896179_0,7.5326151491011615,0.9302546045503792,0.9302546045503792,"LINESTRING (126.93217976607042 37.468444811059285, 126.93267854552461 37.46936052316248)",,,,,,,,,,0.9302546045503792
131544,38883.0,38595.0,23.487,1111,0,0,0,0,0,0,신림동,case_B_nearest_road,,1844752493_1844851887_0,-1.3321831060331903,0.13326110509209102,0.13326110509209102,"LINESTRING (126.92776493405192 37.4858670823407, 126.92802216105882 37.48591968550735)",,,,0.0,1.0,,,,,0.13326110509209102
