도로코드,보행안전지수,accident_count,mapped_link_count
533,9.025443215,0,4
534,-8.714545833,0,5
535,-9.873352877,1,5
536,-0.933806053,0,6
537,2.568289726,1,5
538,0.07323922,0,7
539,-8.014942515,3,5
540,15.12781281,1,5
541,9.174715304,1,5
542,-8.34948914,0,4
543,-1.291265474,1,1
544,-6.084120608,0,3
545,2.412514179,1,6
546,-11.88820737,0,4
547,14.35270019,0,2
548,-7.801725584,3,14
549,-11.91346867,2,10
550,-8.69879278,0,7
551,0.177410371,0,3
552,-10.95658909,0,8
553,-10.20992352,0,4
554,-5.639978404,0,13
555,-7.41669638,2,4
556,-0.12222074,1,4
557,2.145465422,1,5
558,2.609062867,1,2
559,3.182877409,2,4
560,-4.222449588,0,4
561,-5.852841956,0,4
562,-11.44670498,1,4
563,-5.234792637,0,7
564,1.051111754,0,4
565,-1.499038214,0,5
566,-9.262771777,7,5
567,2.529185797,0,4
568,-8.410928071,2,4
569,-6.012142241,1,5
570,-3.702835599,0,5
571,-0.531782532,0,4
572,-2.147025158,0,5
573,-1.911367338,0,5
574,-17.14983839,0,2
575,-18.48752578,0,1
576,-17.56061138,0,5
577,-17.56061138,0,2
578,-5.035867102,0,2
579,-3.877964783,1,3
580,4.583127931,1,4
581,5.735696568,0,7
582,-1.823533714,0,9
583,0.6009339,0,5
584,-0.183988034,1,15
585,4.092530673,2,10
586,-9.294958202,1,2
587,-0.770517098,0,4
588,-9.493308127,0,8
589,-8.334728836,3,3
590,-10.83422557,2,6
591,-13.11627847,1,2
592,-7.407892714,2,3
593,-5.842494904,13,8
2001,26.60913615,2,2
2002,40.36388854,0,8
2003,29.01820566,2,5
2004,6.719957998,4,3
2005,34.97973267,10,4
2006,31.54962162,0,2
2007,11.76967563,1,2
2008,34.74719435,4,1
2009,9.820803294,0,2
2010,28.86082949,5,1
2011,5.812572633,5,4
2012,27.94929854,3,5
2013,10.98783376,7,8
2014,-0.802943385,0,4
2015,-5.482569209,8,4
2016,-8.693072209,20,11
2017,-15.92707058,1,1
2018,-17.13026125,7,6
2019,-17.26054271,2,2
2020,-7.91031368,1,2
2021,-11.55311124,4,3
2022,-15.37857418,7,4
2023,-2.709210332,1,5
2024,20.47386712,1,4
2025,-1.857720584,1,2
2026,-10.11779003,6,2
2027,-1.95354261,1,5
2028,4.977183259,0,6
2029,5.295780577,0,8
2030,-10.21869538,1,2
2031,-13.53721106,3,3
2032,-13.16759048,7,1
2033,-7.509871425,2,3
2034,-10.19205504,0,2
2035,-2.533638198,0,3
2037,-0.071494055,0,1
2038,12.7328723,2,3
2039,-1.684410293,5,4
2040,-3.905438169,0,10
2041,-6.820539763,1,8
2042,-0.731332819,10,6
2043,-5.023925631,0,5
2044,-10.00720942,0,3
2045,-2.482662092,0,2
2046,-9.924598085,4,4
2047,-8.40231482,1,2
2048,-8.576935526,0,3
2049,-0.498144327,1,2
2050,-6.399190764,1,2
2051,-8.866072412,2,6
2052,-8.603422708,1,5
2053,-9.95717769,3,2
2054,-6.004441138,0,2
2055,3.373181721,0,3
2056,-7.799909287,4,3
2057,18.81040745,3,5
2058,13.35879892,0,2
2059,16.98003658,1,3
2060,-9.438856918,1,4
2061,-4.977841947,1,3
2062,2.316693878,1,2
2063,1.271310679,0,3
2064,15.58000092,5,6
2065,5.017387522,11,3
2066,-5.48010424,0,7
2067,-14.03048663,3,21
2068,-4.003932685,5,6
2069,-4.361641042,0,2
2071,-1.070273927,0,4
2072,6.914062664,0,4
2073,17.90144519,0,4
2074,-9.989431684,1,2
2075,1.436163341,1,5
2076,-10.64035051,0,5
2077,-1.798770299,4,8
2078,-6.062334156,2,3
2079,-4.579813552,2,8
2080,8.363610181,0,4
2081,-10.57404793,0,3
2082,-8.767668887,2,3
2083,-11.80134421,4,5
2084,-4.277325956,0,3
2085,-5.370803828,4,6
2086,12.73145229,3,5
2087,15.37924409,10,5
2088,-8.956993798,0,5
2089,0.096493671,0,0
2090,3.852068806,5,3
2091,5.50065408,4,4
2092,-8.554184272,0,3
2093,-1.236978659,1,4
2094,21.46920963,2,2
2095,-2.805943031,1,4
2096,-12.6175312,2,4
2097,2.028742044,3,6
2098,-2.961419531,2,9
2099,-7.535514679,1,3
2100,-1.8907089,1,2
2101,-6.92482208,1,5
2102,-6.572839148,2,3
2103,-9.249728024,0,5
2104,0.539518201,2,5
2105,-14.34204639,1,2
2106,-1.061859932,4,4
2107,-0.110259849,10,5
2108,-1.579786167,1,5
2109,-5.986007759,2,5
2110,-5.2339285,1,3
2111,-11.29401343,1,5
2112,-12.84685273,2,3
2113,-8.219803517,1,3
2114,-5.305925711,5,5
